vegetarian,count
falafel,147
mucver,110
bezelye yemegi,103
harput kofte,96
etsiz nohut,96
yesil mercimek yemegi,79
zy. bruksel lahanasi,78
etsiz kuru fasulye,74
zy.brokoli,72
mantar sote,68
nohutlu kabak,66
sebze buketi,56
saksuka,50
zy.barbunya,48
ispanak yemegi,48
etsiz taze fasulye,43
vegan manti,42
patates graten,37
zy. patlican dolma,36
sebze guvec,36
bugdayli nohutlu ispanak,36
sebze sote,36
zy.enginar,36
zy.kereviz,31
sebze turlu,30
karnabahar graten,30
zy.mantar,30
karnabahar yemegi,30
etsiz bezelye,25
patlican tava,24
patlican yemegi,24
bugdayli pazi,24
zy. taze fasulye,24
sebze graten,24
zy.taze fasulye,24
zy. orbit fasulye,18
zy.orbit fasulye,18
imambayildi,18
taze fasulye,18
yesil mercimek,18
zy. kereviz,18
gemici usulu kuru fasulye,18
patates yemegi,18
zy.dolma,18
pirasa yemegi,18
nohutlu kabak yemegi,18
sebze yemegi,18
imam bayildi,12
mantar yemegi,12
zy.karnabahar,12
zy.yaprak sarma,12
zy.bamya,12
kabak kalye,12
bezelyeli vegan misket kofte,12
karnibahar yemegi,12
sicak barbunya,12
vejetaryen manti,12
dovmec,9
vegan kofte,7
mantar graten,6
patates oturtma,6
zy.kabak dolma,6
etsiz patates yemegi,6
zy. bamya,6
nohutlu ispanak yemegi,6
etsiz guvec,6
etsiz barbunya,6
bulgur kofte,6
etsiz kapuska,6
sebzeli mantar sote,6
zy.pirasa,6
sebzeli mantar graten,6
bruksel lahana,6
patatesli mantar graten,6
kereviz yemegi,6
bugdayli semizotu yemegi,6
nohut yemegi,6
zy.patlican dolma,6
ispanak graten,6
etsiz patates graten,6
bamya yemegi,2
semizotu yemegi,1
vegan (bezelye) kofte,1
vegan hamburger,1
zy. patlican,1
taze fasulye yemegi,1
