campus,weather,meal,soup,main_dish,vegetarian,side_dishes,dessert,day_of_week,week_of_month,month,density
5,14.58,1,44,0,5,68,239,0,0,0,0
5,12.63,1,0,101,62,24,226,1,0,0,2
5,14.18,1,18,70,72,91,228,2,0,0,2
5,15.45,1,43,58,4,138,227,3,0,0,1
5,14.11,1,32,4,1,116,44,4,0,0,2
5,14.88,1,29,19,10,7,327,5,0,0,0
5,14.05,1,42,95,75,169,211,6,0,0,1
5,14.18,1,26,25,29,102,138,0,1,0,2
5,4.03,1,2,16,43,7,272,1,1,0,2
5,4.21,1,35,27,14,7,330,2,1,0,2
5,4.8,1,17,21,46,0,22,3,1,0,1
5,4.4,1,47,48,74,125,85,4,1,0,2
5,3.33,1,20,64,66,144,107,5,1,0,1
5,5.46,1,12,58,4,160,282,6,1,0,0
5,11.28,1,42,105,43,125,192,0,2,0,1
5,9.76,1,24,97,72,15,222,1,2,0,0
5,11.86,1,44,25,50,166,280,2,2,0,0
5,14.13,1,47,99,19,7,295,3,2,0,0
5,16.48,1,21,38,18,125,1,4,2,0,0
5,5.58,1,30,36,74,125,93,5,2,0,0
5,5.88,1,35,113,62,134,239,6,2,0,0
5,5.5,1,41,76,45,7,132,0,3,0,0
5,7.5,1,3,43,31,38,250,1,3,0,0
5,6.26,1,42,31,48,72,238,2,3,0,0
5,8.78,1,26,27,14,116,300,3,3,0,0
5,8.11,1,32,19,10,68,25,4,3,0,0
5,8.06,1,3,48,62,76,22,5,3,0,0
5,5.6,1,0,60,25,125,308,6,3,0,0
5,4.38,1,42,101,18,62,259,0,4,0,0
5,5.36,1,47,30,76,18,233,1,4,0,0
5,6.53,1,29,44,31,125,210,2,4,0,0
5,7.48,1,18,34,29,51,71,3,0,1,0
5,8.08,1,15,79,20,4,260,4,0,1,0
5,8.78,1,37,4,5,57,323,5,0,1,0
5,8.8,1,16,0,67,125,195,6,0,1,0
5,13.88,1,0,30,17,7,97,0,1,1,0
5,16.03,1,29,20,68,46,231,1,1,1,0
5,16.31,1,12,5,31,175,89,2,1,1,0
5,17.28,1,2,35,42,102,217,3,1,1,0
5,16.11,1,37,3,18,7,2,4,1,1,0
5,16.7,1,32,18,66,7,313,5,1,1,0
5,17.44,1,14,101,72,125,219,6,1,1,0
5,16.38,1,17,47,62,104,13,0,2,1,2
5,14.36,1,29,50,67,7,270,1,2,1,2
5,9.08,1,29,41,18,7,267,2,2,1,2
5,6.58,1,16,10,44,68,183,3,2,1,2
5,7.33,1,12,27,14,7,293,4,2,1,2
5,7.58,1,42,4,26,57,154,5,2,1,0
5,7.23,1,18,30,17,116,150,6,2,1,0
5,8.14,1,0,70,67,166,66,0,3,1,2
5,9.28,1,3,24,19,116,286,1,3,1,2
5,10.68,1,41,47,31,125,263,2,3,1,2
5,11.78,1,42,31,48,7,315,3,3,1,2
5,15.63,1,15,16,27,121,13,4,3,1,2
5,17.48,1,18,97,45,125,13,5,3,1,0
5,18.53,1,3,19,1,7,310,6,3,1,0
5,14.86,1,14,117,29,77,108,0,4,1,2
5,12.68,1,16,19,1,116,312,1,4,1,2
5,13.03,1,24,105,18,142,243,2,4,1,2
5,15.61,1,42,48,67,125,122,3,4,1,2
5,16.75,1,15,116,29,125,79,4,0,2,2
5,14.16,1,12,9,47,85,68,5,0,2,0
5,11.16,1,47,4,1,7,315,6,0,2,0
5,15.48,1,19,2,31,185,193,0,1,2,2
5,12.38,1,15,21,47,7,38,1,1,2,2
5,9.01,1,27,56,72,7,235,2,1,2,2
5,11.86,1,29,16,69,7,229,3,1,2,2
5,6.98,1,12,14,26,138,119,4,1,2,2
5,8.7,1,47,27,14,7,289,5,1,2,0
5,12.36,1,49,60,25,57,178,6,1,2,0
5,17.45,1,41,108,39,133,257,0,2,2,2
5,16.08,1,33,30,76,7,269,1,2,2,1
5,13.55,1,9,58,23,96,266,2,2,2,1
5,14.43,1,42,18,53,72,294,3,2,2,1
5,9.86,1,37,8,31,71,323,4,2,2,1
5,11.23,1,15,62,61,155,185,5,2,2,0
5,12.26,1,26,52,34,7,42,6,2,2,0
5,15.26,1,29,99,13,7,295,0,3,2,1
5,14.61,1,37,31,48,57,6,1,3,2,2
5,6.7,1,27,46,43,5,136,2,3,2,2
5,10.53,1,3,26,58,112,59,3,3,2,2
5,8.7,1,24,109,61,1,222,4,3,2,2
5,11.88,1,45,88,31,147,76,5,3,2,1
5,14.83,1,9,14,29,12,29,6,3,2,0
5,8.24,1,47,19,1,13,184,0,4,2,2
5,13.48,1,12,71,69,125,284,1,4,2,2
5,21.5,1,12,84,18,40,336,2,4,2,2
