date,day,campus,weather,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-01-01,monday,kuzey,14.58,420,lunch,toyga corba,adana kofte,bugdayli pazi,mercimekli bulgur pilavi,"salata, meyve, portakalli gazoz"
2024-01-02,tuesday,kuzey,12.63,1626,lunch,alaca corba,tas kebabi,zy. bruksel lahanasi,eriste,"profiterol, mor salata, gazoz"
2024-01-03,wednesday,kuzey,14.18,1686,lunch,kafkas corba,meksika soslu tavuk,zy.kereviz,"nohutlu pirinc pilavi, kuskus","salata, ayran, lokma tatlisi"
2024-01-04,thursday,kuzey,15.45,1033,lunch,tavuk suyu corba,kiymali ispanak,bugdayli nohutlu ispanak,"soslu makarna, su boregi","puding, salata, meyve"
2024-01-05,friday,kuzey,14.11,1360,lunch,safak corba,bahcivan kebabi,bezelye yemegi,"sehriyeli pirinc pilavi, bulgur pilavi","cacik, soda, salata"
2024-01-06,saturday,kuzey,14.88,5,lunch,mercimek corba,etli bezelye,etsiz bezelye,bulgur pilavi,"yogurt, salata, gazoz"
2024-01-07,sunday,kuzey,14.05,595,lunch,tarhana corba,sebzeli tavuk sote,zy.pirasa,"zerdecalli pirinc pilavi, kuskus","mor salata, meyve, soda"
2024-01-08,monday,kuzey,14.18,1347,lunch,mahluta corba,etli mantar sote,mantar sote,peynirli makarna,"lokma tatlisi, ayran, salata"
2024-01-09,tuesday,kuzey,4.03,1714,lunch,andaloz corba,et doner,saksuka,bulgur pilavi,"sutlac, soda, yogurt"
2024-01-10,wednesday,kuzey,4.21,1111,lunch,sef'in corbasi,etli nohut,etsiz nohut,bulgur pilavi,"yogurt, salata, portakalli gazoz"
2024-01-11,thursday,kuzey,4.8,935,lunch,kabak corba,etli guvec,sebze guvec,"arpa sehriye pilavi, bulgur pilavi","ayran, meyve, salata"
2024-01-12,friday,kuzey,4.4,1261,lunch,yayla corba,izmir kofte,zy.orbit fasulye,soslu makarna,"haydari, meyve, limonata"
2024-01-13,saturday,kuzey,3.33,701,lunch,koy corbasi,kori soslu tavuk sote,zy.barbunya,"soslu spagetti, nohutlu pirinc pilavi","kazandibi, salata, meyve"
2024-01-14,sunday,kuzey,5.46,193,lunch,domates corba,kiymali ispanak,bugdayli nohutlu ispanak,"su boregi, soslu makarna","tulumba tatlisi, mor salata, portakalli gazoz"
2024-01-15,monday,kuzey,11.28,732,lunch,tarhana corba,tavuk doner,saksuka,soslu makarna,"meyve, profiterol, ayran"
2024-01-16,tuesday,kuzey,9.76,472,lunch,krutonlu domates corba,soslu mitite kofte,zy.kereviz,"bulgur pilavi, nohutlu pirinc pilavi","piyaz, soda, meyve"
2024-01-17,wednesday,kuzey,11.86,422,lunch,toyga corba,etli mantar sote,sebzeli mantar graten,zerdecalli makarna,"tulumba tatlisi, meyve, salata"
2024-01-18,thursday,kuzey,14.13,337,lunch,yayla corba,sucuklu kuru fasulye,gemici usulu kuru fasulye,bulgur pilavi,"tursu, meyve, ayran"
2024-01-19,friday,kuzey,16.48,452,lunch,koylu corba,firin tavuk sis,falafel,soslu makarna,"amerikan salata, gazoz, meyve"
2024-01-20,saturday,kuzey,5.58,126,lunch,naneli yogurt corba,firin kofte + patates,zy.orbit fasulye,soslu makarna,"ispanak tarator, gazoz, meyve"
