date,day,campus,weather,count,meal,soup,main_dish,vegetarian,side_dishes,dessert,day_of_week,week_of_month,month,normalized_count,density,status
2024-01-01,monday,5,14.58,420,1,44,0,5,68,239,0,0,0,0.1808006887645286,Low,2
2024-01-02,tuesday,5,12.63,1626,1,0,101,62,24,226,1,0,0,0.6999569522169609,Very High,3
2024-01-03,wednesday,5,14.18,1686,1,18,70,72,91,228,2,0,0,0.7257856220404649,Very High,3
2024-01-04,thursday,5,15.45,1033,1,43,58,4,138,227,3,0,0,0.444683598794662,Medium,3
2024-01-05,friday,5,14.11,1360,1,32,4,1,116,44,4,0,0,0.5854498493327593,High,3
2024-01-06,saturday,5,14.88,5,1,29,19,10,7,327,5,0,0,0.0021523891519586,Very Low,3
2024-01-07,sunday,5,14.05,595,1,42,95,75,169,211,6,0,0,0.2561343090830822,Medium,3
2024-01-08,monday,5,14.18,1347,1,26,25,29,102,138,0,1,0,0.5798536375376668,High,3
2024-01-09,tuesday,5,4.03,1714,1,2,16,43,7,272,1,1,0,0.7378390012914335,Very High,3
2024-01-10,wednesday,5,4.21,1111,1,35,27,14,7,330,2,1,0,0.4782608695652174,High,3
2024-01-11,thursday,5,4.8,935,1,17,21,46,0,22,3,1,0,0.402496771416272,Medium,3
2024-01-12,friday,5,4.4,1261,1,47,48,74,125,85,4,1,0,0.5428325441239776,High,3
2024-01-13,saturday,5,3.33,701,1,20,64,66,144,107,5,1,0,0.3017649591046061,Medium,0
2024-01-14,sunday,5,5.46,193,1,12,58,4,160,282,6,1,0,0.0830822212656048,Very Low,0
2024-01-15,monday,5,11.28,732,1,42,105,43,125,192,0,2,0,0.3151097718467499,Medium,0
2024-01-16,tuesday,5,9.76,472,1,24,97,72,15,222,1,2,0,0.2031855359448988,Low,0
2024-01-17,wednesday,5,11.86,422,1,44,25,50,166,280,2,2,0,0.1816616444253121,Low,0
2024-01-18,thursday,5,14.13,337,1,47,99,19,7,295,3,2,0,0.1450710288420146,Low,0
2024-01-19,friday,5,16.48,452,1,21,38,18,125,1,4,2,0,0.1945759793370641,Low,0
2024-01-20,saturday,5,5.58,126,1,30,36,74,125,93,5,2,0,0.0542402066293585,Very Low,0
2024-01-21,sunday,5,5.88,99,1,35,113,62,134,239,6,2,0,0.0426173052087817,Very Low,0
2024-01-22,monday,5,5.5,330,1,41,76,45,7,132,0,3,0,0.1420576840292725,Low,0
2024-01-23,tuesday,5,7.5,347,1,3,43,31,38,250,1,3,0,0.149375807145932,Low,0
2024-01-24,wednesday,5,6.26,232,1,42,31,48,72,238,2,3,0,0.0998708566508824,Low,0
2024-01-25,thursday,5,8.78,200,1,26,27,14,116,300,3,3,0,0.0860955660783469,Low,0
2024-01-26,friday,5,8.11,192,1,32,19,10,68,25,4,3,0,0.082651743435213,Very Low,0
2024-01-27,saturday,5,8.06,62,1,3,48,62,76,22,5,3,0,0.0266896254842875,Very Low,0
2024-01-28,sunday,5,5.6,52,1,0,60,25,125,308,6,3,0,0.0223848471803702,Very Low,0
2024-01-29,monday,5,4.38,251,1,42,101,18,62,259,0,4,0,0.1080499354283254,Low,0
2024-01-30,tuesday,5,5.36,189,1,47,30,76,18,233,1,4,0,0.0813603099440378,Very Low,0
2024-01-31,wednesday,5,6.53,377,1,29,44,31,125,210,2,4,0,0.162290142057684,Low,0
2024-02-01,thursday,5,7.48,270,1,18,34,29,51,71,3,0,1,0.1162290142057684,Low,0
2024-02-02,friday,5,8.08,326,1,15,79,20,4,260,4,0,1,0.1403357727077055,Low,0
2024-02-03,saturday,5,8.78,66,1,37,4,5,57,323,5,0,1,0.0284115368058545,Very Low,0
2024-02-04,sunday,5,8.8,87,1,16,0,67,125,195,6,0,1,0.0374515712440809,Very Low,0
2024-02-05,monday,5,13.88,227,1,0,30,17,7,97,0,1,1,0.0977184674989238,Low,0
2024-02-06,tuesday,5,16.03,309,1,29,20,68,46,231,1,1,1,0.133017649591046,Low,0
2024-02-07,wednesday,5,16.31,435,1,12,5,31,175,89,2,1,1,0.1872578562204046,Low,0
