date,day,campus,weather,count,meal,soup,main_dish,vegetarian,side_dishes,dessert,day_of_week,week_of_month,month,normalized_count,density
2024-01-01,monday,5,14.58,420,1,44,0,5,68,239,0,0,0,0.18080068876452862,Low
2024-01-02,tuesday,5,12.63,1626,1,0,101,62,24,226,1,0,0,0.6999569522169609,Very High
2024-01-03,wednesday,5,14.18,1686,1,18,70,72,91,228,2,0,0,0.7257856220404649,Very High
2024-01-04,thursday,5,15.45,1033,1,43,58,4,138,227,3,0,0,0.44468359879466207,Medium
2024-01-05,friday,5,14.11,1360,1,32,4,1,116,44,4,0,0,0.5854498493327593,High
2024-01-06,saturday,5,14.88,5,1,29,19,10,7,327,5,0,0,0.002152389151958674,Very Low
2024-01-07,sunday,5,14.05,595,1,42,95,75,169,211,6,0,0,0.2561343090830822,Medium
2024-01-08,monday,5,14.18,1347,1,26,25,29,102,138,0,1,0,0.5798536375376668,High
2024-01-09,tuesday,5,4.03,1714,1,2,16,43,7,272,1,1,0,0.7378390012914335,Very High
2024-01-10,wednesday,5,4.21,1111,1,35,27,14,7,330,2,1,0,0.4782608695652174,High
2024-01-11,thursday,5,4.8,935,1,17,21,46,0,22,3,1,0,0.40249677141627205,Medium
2024-01-12,friday,5,4.4,1261,1,47,48,74,125,85,4,1,0,0.5428325441239776,High
2024-01-13,saturday,5,3.33,701,1,20,64,66,144,107,5,1,0,0.3017649591046061,Medium
2024-01-14,sunday,5,5.46,193,1,12,58,4,160,282,6,1,0,0.08308222126560483,Very Low
2024-01-15,monday,5,11.28,732,1,42,105,43,125,192,0,2,0,0.3151097718467499,Medium
2024-01-16,tuesday,5,9.76,472,1,24,97,72,15,222,1,2,0,0.20318553594489883,Low
2024-01-17,wednesday,5,11.86,422,1,44,25,50,166,280,2,2,0,0.1816616444253121,Low
2024-01-18,thursday,5,14.13,337,1,47,99,19,7,295,3,2,0,0.14507102884201464,Low
2024-01-19,friday,5,16.48,452,1,21,38,18,125,1,4,2,0,0.19457597933706414,Low
2024-01-20,saturday,5,5.58,126,1,30,36,74,125,93,5,2,0,0.054240206629358585,Very Low
2024-01-21,sunday,5,5.88,99,1,35,113,62,134,239,6,2,0,0.04261730520878175,Very Low
