date,campus,meal,weather,count
2024-01-01,kuzey,breakfast,12.66,46
2024-01-02,kuzey,breakfast,14.01,429
2024-01-03,kuzey,breakfast,12.93,337
2024-01-04,kuzey,breakfast,14.05,323
2024-01-05,kuzey,breakfast,12.45,359
2024-01-06,kuzey,breakfast,12.73,208
2024-01-07,kuzey,breakfast,11.95,167
2024-01-08,kuzey,breakfast,13.11,331
2024-01-09,kuzey,breakfast,2.43,354
2024-01-10,kuzey,breakfast,4.26,297
2024-01-11,kuzey,breakfast,5.23,257
2024-01-12,kuzey,breakfast,4.76,303
2024-01-13,kuzey,breakfast,2.48,210
2024-01-14,kuzey,breakfast,4.5,74
2024-01-15,kuzey,breakfast,8.83,109
2024-01-16,kuzey,breakfast,11.66,100
2024-01-17,kuzey,breakfast,9.36,63
2024-01-18,kuzey,breakfast,13.58,49
2024-01-19,kuzey,breakfast,13.78,50
2024-01-20,kuzey,breakfast,7.88,35
2024-01-21,kuzey,breakfast,6.0,26
2024-01-22,kuzey,breakfast,6.08,37
2024-01-23,kuzey,breakfast,6.6,26
2024-01-24,kuzey,breakfast,6.73,26
2024-01-25,kuzey,breakfast,7.16,30
2024-01-26,kuzey,breakfast,7.76,28
2024-01-27,kuzey,breakfast,6.88,9
2024-01-28,kuzey,breakfast,5.46,23
2024-01-29,kuzey,breakfast,4.06,29
2024-01-30,kuzey,breakfast,4.9,23
2024-01-31,kuzey,breakfast,6.18,27
2024-02-01,kuzey,breakfast,7.5,16
2024-02-02,kuzey,breakfast,6.93,22
2024-02-03,kuzey,breakfast,7.63,17
2024-02-04,kuzey,breakfast,8.76,6
2024-02-05,kuzey,breakfast,10.33,27
2024-02-06,kuzey,breakfast,14.3,44
2024-02-07,kuzey,breakfast,14.13,20
2024-02-08,kuzey,breakfast,15.7,29
2024-02-09,kuzey,breakfast,14.03,41
2024-02-10,kuzey,breakfast,14.63,0
2024-02-11,kuzey,breakfast,15.91,0
2024-02-12,kuzey,breakfast,16.56,322
2024-02-13,kuzey,breakfast,12.58,367
2024-02-14,kuzey,breakfast,10.03,331
2024-02-15,kuzey,breakfast,6.93,279
2024-02-16,kuzey,breakfast,7.76,188
2024-02-17,kuzey,breakfast,7.33,105
2024-02-18,kuzey,breakfast,6.83,91
2024-02-19,kuzey,breakfast,7.96,327
2024-02-20,kuzey,breakfast,8.53,383
2024-02-21,kuzey,breakfast,8.7,324
2024-02-22,kuzey,breakfast,9.98,327
2024-02-23,kuzey,breakfast,12.2,233
2024-02-24,kuzey,breakfast,15.55,137
2024-02-25,kuzey,breakfast,16.88,142
2024-02-26,kuzey,breakfast,14.41,342
2024-02-27,kuzey,breakfast,11.58,379
2024-02-28,kuzey,breakfast,11.73,316
2024-02-29,kuzey,breakfast,12.28,297
2024-03-01,kuzey,breakfast,13.28,226
2024-03-02,kuzey,breakfast,10.95,116
2024-03-03,kuzey,breakfast,9.9,127
2024-03-04,kuzey,breakfast,12.28,313
2024-03-05,kuzey,breakfast,14.33,361
2024-03-06,kuzey,breakfast,8.43,310
2024-03-07,kuzey,breakfast,10.24,308
2024-03-08,kuzey,breakfast,7.2,216
2024-03-09,kuzey,breakfast,7.18,134
2024-03-10,kuzey,breakfast,10.28,131
2024-03-11,kuzey,breakfast,14.51,211
2024-03-12,kuzey,breakfast,14.48,220
2024-03-13,kuzey,breakfast,12.83,204
2024-03-14,kuzey,breakfast,12.45,221
2024-03-15,kuzey,breakfast,8.08,162
2024-03-16,kuzey,breakfast,9.08,83
2024-03-17,kuzey,breakfast,11.36,93
2024-03-18,kuzey,breakfast,12.16,202
2024-03-19,kuzey,breakfast,14.45,225
2024-03-20,kuzey,breakfast,6.03,212
2024-03-21,kuzey,breakfast,9.06,186
