date,day,campus,count,meal,soup,main_dish,vegetarian,side_dishes,dessert
2024-09-02,monday,Anadoluhisari,17,lunch,tavuk suyu corba,rosto kofte,patates oturtma,"misirli pirinc pilavi, eriste","meyve, coban salata, ayran"
2024-09-02,monday,Kuzey,268,lunch,tavuk suyu corba,rosto kofte,patates oturtma,"misirli pirinc pilavi, eriste","meyve, coban salata, ayran"
2024-09-02,monday,Guney,106,lunch,tavuk suyu corba,rosto kofte,patates oturtma,"misirli pirinc pilavi, eriste","meyve, coban salata, ayran"
2024-09-02,monday,Hisar,29,lunch,tavuk suyu corba,rosto kofte,patates oturtma,"misirli pirinc pilavi, eriste","meyve, coban salata, ayran"
2024-09-02,monday,Kilyos,20,lunch,tavuk suyu corba,rosto kofte,patates oturtma,"misirli pirinc pilavi, eriste","meyve, coban salata, ayran"
2024-09-02,monday,Kandilli,54,lunch,tavuk suyu corba,rosto kofte,patates oturtma,"misirli pirinc pilavi, eriste","meyve, coban salata, ayran"
2024-09-03,tuesday,Anadoluhisari,32,lunch,mahluta corba,sehzade kebabi,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, soda"
2024-09-03,tuesday,Kuzey,241,lunch,mahluta corba,sehzade kebabi,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, soda"
2024-09-03,tuesday,Guney,114,lunch,mahluta corba,sehzade kebabi,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, soda"
2024-09-03,tuesday,Hisar,44,lunch,mahluta corba,sehzade kebabi,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, soda"
2024-09-03,tuesday,Kilyos,11,lunch,mahluta corba,sehzade kebabi,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, soda"
2024-09-03,tuesday,Kandilli,50,lunch,mahluta corba,sehzade kebabi,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, soda"
2024-09-04,wednesday,Anadoluhisari,28,lunch,naneli yogurt corba,tavuk tava,falafel,"soslu makarna, patatesli tepsi boregi","tiramisu, ayran, mevsim salata"
2024-09-04,wednesday,Kuzey,281,lunch,naneli yogurt corba,tavuk tava,falafel,"soslu makarna, patatesli tepsi boregi","tiramisu, ayran, mevsim salata"
2024-09-04,wednesday,Guney,138,lunch,naneli yogurt corba,tavuk tava,falafel,"soslu makarna, patatesli tepsi boregi","tiramisu, ayran, mevsim salata"
2024-09-04,wednesday,Hisar,52,lunch,naneli yogurt corba,tavuk tava,falafel,"soslu makarna, patatesli tepsi boregi","tiramisu, ayran, mevsim salata"
2024-09-04,wednesday,Kilyos,14,lunch,naneli yogurt corba,tavuk tava,falafel,"soslu makarna, patatesli tepsi boregi","tiramisu, ayran, mevsim salata"
2024-09-04,wednesday,Kandilli,56,lunch,naneli yogurt corba,tavuk tava,falafel,"soslu makarna, patatesli tepsi boregi","tiramisu, ayran, mevsim salata"
2024-09-05,thursday,Anadoluhisari,22,lunch,domates corba,pilic topkapi,harput kofte,"zy. orbit fasulye, saksuka","limonata, meyve, zerde tatlisi"
2024-09-05,thursday,Kuzey,249,lunch,domates corba,pilic topkapi,harput kofte,"zy. orbit fasulye, saksuka","limonata, meyve, zerde tatlisi"
2024-09-05,thursday,Guney,125,lunch,domates corba,pilic topkapi,harput kofte,"zy. orbit fasulye, saksuka","limonata, meyve, zerde tatlisi"
2024-09-05,thursday,Hisar,34,lunch,domates corba,pilic topkapi,harput kofte,"zy. orbit fasulye, saksuka","limonata, meyve, zerde tatlisi"
2024-09-05,thursday,Kilyos,12,lunch,domates corba,pilic topkapi,harput kofte,"zy. orbit fasulye, saksuka","limonata, meyve, zerde tatlisi"
2024-09-05,thursday,Kandilli,47,lunch,domates corba,pilic topkapi,harput kofte,"zy. orbit fasulye, saksuka","limonata, meyve, zerde tatlisi"
2024-09-06,friday,Anadoluhisari,29,lunch,mercimek corba,iskender kebap,bezelyeli vegan misket kofte,"bulgur pilavi, pirinc pilavi","mevsim salata, meyve, kola"
