date,day_of_week,meal_time,soup,main_dish,vegetarian,side_dishes,dessert
2024-01-01,pazartesi,ogle yemegi,toyga corba,adana kofte,bugdayli pazi,mercimekli bulgur pilavi,"salata, meyve, portakalli gazoz"
2024-01-01,pazartesi,aksam yemegi,ezogelin corba,ankara tava,sebze buketi,"zy.barbunya, ispanakli gul boregi","pembe sultan, soda, meyve"
2024-01-02,sali,ogle yemegi,alaca corba,tas kebabi,zy. bruksel lahanasi,eriste,"profiterol, mor salata, gazoz"
2024-01-02,sali,aksam yemegi,vitamin corba,etli kuru fasulye,etsiz kuru fasulye,"arpa sehriyeli pirinc pilavi, bulgur pilavi","ayran, tursu, meyve"
2024-01-03,carsamba,ogle yemegi,kafkas corba,meksika soslu tavuk,zy.kereviz,"nohutlu pirinc pilavi, kuskus","salata, ayran, lokma tatlisi"
2024-01-03,carsamba,aksam yemegi,brokoli corba,firin kofte + patates,nohutlu kabak,soslu spagetti,"haydari, soda, meyve"
2024-01-04,persembe,ogle yemegi,tavuk suyu corba,kiymali ispanak,bugdayli nohutlu ispanak,"soslu makarna, su boregi","puding, salata, meyve"
2024-01-04,persembe,aksam yemegi,dugun corba,etli turlu,sebze turlu,mercimekli bulgur pilavi,"yogurt, salata, meyve"
2024-01-05,cuma,ogle yemegi,safak corba,bahcivan kebabi,bezelye yemegi,"sehriyeli pirinc pilavi, bulgur pilavi","cacik, soda, salata"
2024-01-05,cuma,aksam yemegi,domates corba,firin tavuk but,zy.brokoli,"zerdecalli pirinc pilavi, bulgur pilavi","mor salata, ayran, meyve"
2024-01-06,cumartesi,ogle yemegi,mercimek corba,etli bezelye,etsiz bezelye,bulgur pilavi,"yogurt, salata, gazoz"
2024-01-06,cumartesi,aksam yemegi,saray corba,izmir kofte,zy.enginar,soslu makarna,"cevizli baklava, soda, yesil salata"
2024-01-07,pazar,ogle yemegi,tarhana corba,sebzeli tavuk sote,zy.pirasa,"zerdecalli pirinc pilavi, kuskus","mor salata, meyve, soda"
2024-01-07,pazar,aksam yemegi,kis corbasi,kiymali yesil mercimek,yesil mercimek yemegi,gul boregi,"ayran, meyve, salata"
2024-01-08,pazartesi,ogle yemegi,mahluta corba,etli mantar sote,mantar sote,peynirli makarna,"lokma tatlisi, ayran, salata"
2024-01-08,pazartesi,aksam yemegi,gendime corba,misket kofte,zy.kereviz,"sehriyeli pirinc pilavi, bulgur pilavi","ayran, meyve, gazoz"
2024-01-09,sali,ogle yemegi,andaloz corba,et doner,saksuka,bulgur pilavi,"sutlac, soda, yogurt"
2024-01-09,sali,aksam yemegi,elvankiz corba,etli taze fasulye,etsiz taze fasulye,soslu makarna,"pembe sultan, gazoz, salata"
2024-01-10,carsamba,ogle yemegi,sef'in corbasi,etli nohut,etsiz nohut,bulgur pilavi,"yogurt, salata, portakalli gazoz"
2024-01-10,carsamba,aksam yemegi,tutmac corba,tavuk baget,zy.brokoli,"arpa sehriye pilavi, mercimekli bulgur pilavi","meyve, ayran, soda"
2024-01-11,persembe,ogle yemegi,kabak corba,etli guvec,sebze guvec,"arpa sehriye pilavi, bulgur pilavi","ayran, meyve, salata"
2024-01-11,persembe,aksam yemegi,ezogelin corba,etli manti,vegan manti,"zy.orbit fasulye, zy.patlican dolma","cevizli baklava, salata, soda"
2024-01-12,cuma,ogle yemegi,yayla corba,izmir kofte,zy.orbit fasulye,soslu makarna,"haydari, meyve, limonata"
2024-01-12,cuma,aksam yemegi,tarhana corba,etli kuru fasulye,etsiz kuru fasulye,bulgur pilavi,"yogurt, salata, tursu"
2024-01-13,cumartesi,ogle yemegi,koy corbasi,kori soslu tavuk sote,zy.barbunya,"soslu spagetti, nohutlu pirinc pilavi","kazandibi, salata, meyve"
2024-01-13,cumartesi,aksam yemegi,mercimek corba,kiymali karnabahar,karnabahar graten,"sehriyeli pirinc pilavi, bulgur pilavi","ayran, salata, meyve"
2024-01-14,pazar,ogle yemegi,domates corba,kiymali ispanak,bugdayli nohutlu ispanak,"su boregi, soslu makarna","tulumba tatlisi, mor salata, portakalli gazoz"
2024-01-14,pazar,aksam yemegi,vitamin corba,bahcivan kebabi,sebze turlu,"nohutlu pirinc pilavi, bulgur pilavi","salata, yogurt, meyve"
2024-01-15,pazartesi,ogle yemegi,tarhana corba,tavuk doner,saksuka,soslu makarna,"meyve, profiterol, ayran"
2024-01-15,pazartesi,aksam yemegi,mercimek corba,etli taze fasulye,zy.taze fasulye,"bulgur pilavi, melek pilavi","cacik, salata, meyve"
2024-01-16,sali,ogle yemegi,krutonlu domates corba,soslu mitite kofte,zy.kereviz,"bulgur pilavi, nohutlu pirinc pilavi","piyaz, soda, meyve"
2024-01-16,sali,aksam yemegi,sifa corba,kiymali yesil mercimek,yesil mercimek yemegi,"misirli pirinc pilavi, soslu spagetti","meyve, coleslaw salata, soda"
2024-01-17,carsamba,ogle yemegi,toyga corba,etli mantar sote,sebzeli mantar graten,zerdecalli makarna,"tulumba tatlisi, meyve, salata"
2024-01-17,carsamba,aksam yemegi,mahluta corba,kiymali karisik dolma,zy. patlican dolma,"su boregi, soslu makarna","mevsim salata, komposto, meyve"
2024-01-18,persembe,ogle yemegi,yayla corba,sucuklu kuru fasulye,gemici usulu kuru fasulye,bulgur pilavi,"tursu, meyve, ayran"
2024-01-18,persembe,aksam yemegi,andaloz corba,hunkar begendi,patlican yemegi,"bulgur pilavi, melek pilavi","mor salata, meyve, soda"
2024-01-19,cuma,ogle yemegi,koylu corba,firin tavuk sis,falafel,soslu makarna,"amerikan salata, gazoz, meyve"
2024-01-19,cuma,aksam yemegi,mahluta corba,bahcivan kebabi,nohutlu kabak,"sehriyeli pirinc pilavi, mercimekli bulgur pilavi","meyve, limonata, mevsim salata"
2024-01-20,cumartesi,ogle yemegi,naneli yogurt corba,firin kofte + patates,zy.orbit fasulye,soslu makarna,"ispanak tarator, gazoz, meyve"
2024-01-20,cumartesi,aksam yemegi,ezogelin corba,etli bezelye,etsiz bezelye,bulgur pilavi,"yogurt, mor salata, cevizli kadayif"
2024-01-21,pazar,ogle yemegi,sef'in corbasi,tavuk schnitzel,zy. bruksel lahanasi,"soslu makarna, nohutlu pirinc pilavi","salata, meyve, portakalli gazoz"
2024-01-21,pazar,aksam yemegi,suleymaniye corba,etli guvec,sebze guvec,"sehriyeli pirinc pilavi, bulgur pilavi","biber borani, meyve, soda"
2024-01-22,pazartesi,ogle yemegi,suzme mercimek corba,orman kebabi,sebze graten,bulgur pilavi,"limonata, meyve, mercimek kofte"
2024-01-22,pazartesi,aksam yemegi,tutmac corba,misket kofte,etsiz kapuska,"soslu makarna, sebzeli pirinc pilavi","kazandibi, gazoz, meyve"
2024-01-23,sali,ogle yemegi,antep corba,icli kofte,mucver,"firin makarna, zy.orbit fasulye","soda, mevsim salata, ayran"
2024-01-23,sali,aksam yemegi,kabak corba,etli barbunya,zy.barbunya,"soslu makarna, bulgur pilavi","yogurt, salata, meyve"
2024-01-24,carsamba,ogle yemegi,tarhana corba,etli turlu,sebze turlu,meyhane pilavi,"salata, meyve, muzlu puding"
2024-01-24,carsamba,aksam yemegi,kafkas corba,cin usulu  tavuk sote,bugdayli pazi,"arpa sehriye pilavi, bulgur pilavi","yogurt, salata, limonata"
2024-01-25,persembe,ogle yemegi,mahluta corba,etli nohut,etsiz nohut,"sehriyeli pirinc pilavi, bulgur pilavi","tursu, salata, meyve"
2024-01-25,persembe,aksam yemegi,sebze corba,firin tavuk but,harput kofte,spagetti makarna,"gazoz, havuc tarator, meyve"
2024-01-26,cuma,ogle yemegi,safak corba,etli bezelye,etsiz bezelye,mercimekli bulgur pilavi,"ayran, salata, meyve"
2024-01-26,cuma,aksam yemegi,yayla corba,beef navarin,zy.barbunya,bulgur pilavi,"coleslaw salata, portakalli gazoz, sekerpare"
2024-01-27,cumartesi,ogle yemegi,antep corba,izmir kofte,zy. bruksel lahanasi,"misirli eriste, garniturlu pirinc pilavi","ayran, meyve, salata"
2024-01-27,cumartesi,aksam yemegi,mercimek corba,kiymali ispanak,bugdayli nohutlu ispanak,"su boregi, cevizli eriste","salata, meyve, kemalpasa"
2024-01-28,pazar,ogle yemegi,alaca corba,kiymali karnabahar,karnabahar graten,soslu makarna,"yogurt, gazoz, salata"
2024-01-28,pazar,aksam yemegi,toyga corba,bahcivan kebabi,zy.mantar,meyhane pilavi,"mor salata, meyve, soda"
2024-01-29,pazartesi,ogle yemegi,tarhana corba,tas kebabi,falafel,"melek pilavi, bulgur pilavi","soda, salata, revani"
2024-01-29,pazartesi,aksam yemegi,kabak corba,meksika soslu tavuk,zy.brokoli,zerdecalli makarna,"kazandibi, gazoz, mevsim salata"
2024-01-30,sali,ogle yemegi,yayla corba,etli taze fasulye,zy.taze fasulye,"bulgur pilavi, sehriyeli pirinc pilavi","salata, meyve, cilekli puding"
2024-01-30,sali,aksam yemegi,andaloz corba,firin kofte + patates,harput kofte,soslu makarna,"salata, meyve, ayran"
2024-01-31,carsamba,ogle yemegi,mercimek corba,iskender kebap,mucver,soslu makarna,"mor salata, meyve, portakalli gazoz"
2024-01-31,carsamba,aksam yemegi,ezogelin corba,tavuk schnitzel,zy. bruksel lahanasi,spagetti makarna,"ayran, meyve, pembe sultan"
2024-02-01,persembe,ogle yemegi,kafkas corba,firin hindi,mantar sote,"ic pilavi, cevizli eriste","gazoz, havuc borani, salata"
2024-02-01,persembe,aksam yemegi,domates corba,etli nohut,etsiz nohut,bulgur pilavi,"yogurt, tursu, salata"
2024-02-02,cuma,ogle yemegi,ezogelin corba,pideli kofte,harput kofte,"arpa sehriyeli pirinc pilavi, mercimekli bulgur pilavi","soda, sekerpare, meyve"
2024-02-02,cuma,aksam yemegi,tarhana corba,kiymali ispanak,bugdayli nohutlu ispanak,"su boregi, soslu makarna","mor salata, fanta, meyve"
2024-02-03,cumartesi,ogle yemegi,sehriye corba,bahcivan kebabi,bugdayli pazi,kuskus,"yogurt, meyve, soda"
2024-02-03,cumartesi,aksam yemegi,naneli yogurt corba,tavuk kok kanat,zy.orbit fasulye,bulgur pilavi,"ayran, humus, salata"
2024-02-04,pazar,ogle yemegi,gendime corba,adana kofte,zy.brokoli,soslu makarna,"meyve, salata, soda"
2024-02-04,pazar,aksam yemegi,mahluta corba,pizza + patates,mucver,"sogan halkasi, zy.barbunya","kazandibi, gazoz, meyve"
2024-02-05,pazartesi,ogle yemegi,alaca corba,etli taze fasulye,etsiz taze fasulye,bulgur pilavi,"kabak tatlisi, mevsim salata, soda"
2024-02-05,pazartesi,aksam yemegi,sef'in corbasi,elbasan tava,sebze graten,"nohutlu pirinc pilavi, mercimekli bulgur pilavi","salata, meyve, fanta"
2024-02-06,sali,ogle yemegi,mercimek corba,etli biber dolma,zy.dolma,"gul boregi, soslu makarna","salata, limonata, meyve"
2024-02-06,sali,aksam yemegi,antep corba,etli manti,vejetaryen manti,"zy.barbunya, zy. bruksel lahana","soda, soslu muhallebi, salata"
2024-02-07,carsamba,ogle yemegi,domates corba,balik pane,mucver,"zy. orbit fasulye, soslu makarna","helva, roka salatasi, meyve suyu"
2024-02-07,carsamba,aksam yemegi,tarhana corba,etli kuru fasulye,gemici usulu kuru fasulye,bulgur pilavi,"yogurt, tursu, meyve"
2024-02-08,persembe,ogle yemegi,andaloz corba,firin kofte,pirasa yemegi,peynirli makarna,"muzlu puding, yesil salata, soda"
2024-02-08,persembe,aksam yemegi,koylu corba,etli guvec,sebze guvec,"sehriyeli pirinc pilavi, nohutlu bulgur pilavi","yogurt, meyve, gazoz"
2024-02-09,cuma,ogle yemegi,sehriye corba,arnavut cigeri,falafel,bulgur pilavi,"ayran, cevizli baklava, mevsim salata"
2024-02-09,cuma,aksam yemegi,yayla corba,etli bezelye,bezelye yemegi,su boregi,"mor salata, meyve, fanta"
2024-02-10,cumartesi,ogle yemegi,sifa corba,etli barbunya,zy.barbunya,bulgur pilavi,"yogurt, mevsim salata, gazoz"
