date,day_of_week,meal_time,soup,main_dish,vegetarian,side_dishes,dessert
2024-09-02,pazartesi,ogle yemegi,tavuk suyu corba,rosto kofte,patates oturtma,"misirli pirinc pilavi, eriste","meyve, coban salata, ayran"
2024-09-03,sali,ogle yemegi,mahluta corba,sehzade kebabi,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","cacik, meyve, soda"
2024-09-04,carsamba,ogle yemegi,naneli yogurt corba,tavuk tava,falafel,"soslu makarna, patatesli tepsi boregi","tiramisu, ayran, mevsim salata"
2024-09-05,persembe,ogle yemegi,domates corba,pilic topkapi,harput kofte,"zy. orbit fasulye, saksuka","limonata, meyve, zerde tatlisi"
2024-09-06,cuma,ogle yemegi,mercimek corba,iskender kebap,bezelyeli vegan misket kofte,"bulgur pilavi, pirinc pilavi","mevsim salata, meyve, kola"
2024-09-09,pazartesi,ogle yemegi,koy corbasi,mantar soslu tavuk,mantar graten,"pirinc pilavi, domatesli bulgur pilavi","coban salata, meyve, gazoz"
2024-09-10,sali,ogle yemegi,bamya corba,etli nohut,etsiz nohut,"bulgur pilavi, pirinc pilavi","yogurt, tursu, brownie"
2024-09-11,carsamba,ogle yemegi,ayranasi corba,meksika soslu tavuk,zy.mantar,"nohutlu pirinc pilavi, tepsi boregi","keskul, limonata, meyve"
2024-09-12,persembe,ogle yemegi,cesmi nigar corba,tavuk sandal,imam bayildi,"bulgur pilavi, zerdecalli pirinc pilavi","semizotu borani, meyve, soda"
2024-09-13,cuma,ogle yemegi,ezogelin corba,kabak begendi,nohutlu kabak yemegi,"sehriyeli pirinc pilavi, eriste","ayran, mevsim salata, meyve"
2024-09-16,pazartesi,ogle yemegi,antep corba,tavuk doner,falafel,"soslu makarna, pirinc pilavi","mevsim salata, limonata, meyve"
2024-09-17,sali,ogle yemegi,brokoli corba,firin kofte,vegan kofte,"soslu makarna, garniturlu pirinc pilavi","ayran, cheescake, meyve"
2024-09-18,carsamba,ogle yemegi,mercimek corba,kremali tavuk sote,bezelyeli vegan misket kofte,"garniturlu pirinc pilavi, soslu spagetti","magnolia, mevsim salata, ayran"
2024-09-19,persembe,ogle yemegi,yayla corba,etli taze fasulye,taze fasulye,"bulgur pilavi, melek pilavi","mevsim salata, profiterol, meyve"
2024-09-19,persembe,aksam yemegi,alaca corba,izmir kofte,bezelyeli vegan misket kofte,"spagetti makarna, pirinc pilavi","ayran, mevsim salata, meyve"
2024-09-20,cuma,ogle yemegi,antep corba,mantar soslu tavuk,mantar sote,"nohutlu pirinc pilavi, soslu makarna","mevsim salata, meyve, limonata"
